No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
183,ONCT,77.61M,-,-,-,18.05,0.88,0.85,-,25.10%,-38.00%,12.20%,0.00%,-,1.57,0.00%,"271,774"
184,MARK,77.17M,1.3,-,-,5.36,1.13,0.96,-,69.10%,-,40.00%,-,-6.50%,0.78,5.80%,"1,160,580"
185,BTTR,76.30M,-,-,-,1.72,1.16,2.93,-,78.20%,-252.60%,-28.60%,-,-,2.47,-5.36%,"252,395"
186,MICT,76.20M,-,-,-,1.88,0.52,0.72,-,-111.00%,81.20%,-14.60%,-,-45.10%,0.65,4.82%,"286,410"
187,BLRX,75.51M,-,-,-,-,1.07,1.32,-,65.60%,30.30%,-,-,-,1.53,-1.29%,"127,056"
188,HNNA,74.78M,9.42,8.06,-,2.23,0.9,1.37,11.87,0.40%,15.60%,-10.50%,-,-8.60%,10.16,1.60%,"12,207"
189,GROW,74.49M,3.92,-,-,2.56,1.28,2.53,8.87,817.90%,-,61.00%,-,30.50%,5.04,1.61%,"62,703"
190,CGA,73.32M,-,-,-,0.33,0.53,3.11,-,30.60%,-,-32.90%,12.50%,-3.00%,8.92,3.24%,"4,903"
191,IZEA,73.20M,-,-,-,2.83,0.88,0.98,-,13.10%,-12.50%,39.40%,10.00%,5.40%,1.06,-10.17%,"736,750"
192,GEOS,73.07M,-,-,-,0.87,0.54,4.94,-,26.00%,-,21.50%,37.00%,8.90%,5.7,1.24%,"272,603"
193,CDZI,72.91M,-,-,-,121.51,1.55,3.92,-,0.50%,28.80%,3.90%,-,12.20%,1.75,4.79%,"616,208"
194,ORGS,72.59M,-,-,-,2.35,1.84,4.87,-,-215.50%,59.60%,-27.90%,-,3.60%,3.27,9.36%,"52,675"
195,TACT,71.40M,-,-,-,1.81,1.78,3.82,-,13.90%,37.10%,-30.80%,20.00%,-12.50%,7.43,2.34%,"14,006"
196,WWR,71.10M,-,-,-,-,0.48,0.62,-,68.70%,-,69.50%,20.00%,-,1.74,0.58%,"880,365"
197,NAII,69.77M,7.22,-,-,0.42,0.84,3.6,-,787.00%,-,3.30%,-,9.30%,11.4,0.00%,"4,931"
198,CODA,69.50M,20,10.43,-,3.14,1.72,3.36,13.11,47.80%,32.65%,-1.40%,-,0.20%,6.78,5.94%,"64,823"
199,DMAC,69.29M,-,-,-,-,1.65,1.54,-,16.50%,-38.40%,-6.90%,30.00%,-,2.74,4.58%,"37,950"
200,NEPT,69.23M,-,-,-,1.38,0.34,4.17,-,-103.70%,53.30%,-69.50%,-,15.60%,0.21,-31.63%,"2,766,597"
201,NCTY,69.09M,-,-,-,3.49,0.29,0.52,-,235.40%,-,6.25%,-,-,3.5,5.42%,"546,305"
202,VQS,67.60M,-,-,-,1.71,1.53,2.05,-,-26.10%,-,-24.50%,-,26.30%,1.87,3.60%,"5,744"
203,SEAC,67.21M,-,-,-,2.81,1.55,3.82,-,-138.90%,-5.60%,16.40%,-,-27.10%,1.38,0.73%,"4,583,374"
204,POAI,66.90M,-,-,-,55.75,1.47,1.6,-,67.70%,75.00%,62.80%,-,13.90%,1.07,4.90%,"725,169"
205,AWRE,65.99M,-,-,-,3.9,1.62,1.98,-,8.50%,43.80%,-30.40%,-,-10.40%,3.18,4.26%,"18,381"
206,LFVN,65.30M,7.09,6.89,0.59,0.31,1.96,3.23,5.1,14.20%,15.38%,16.50%,12.00%,1.30%,5.17,1.77%,"81,129"
207,ARKR,64.57M,4.15,-,-,0.42,1.23,3.2,4.58,367.10%,-,25.50%,-,-2.60%,18.19,0.17%,"3,424"
208,GIFI,63.60M,-,-,-,0.51,0.57,0.89,-,44.90%,-270.40%,-0.40%,31.60%,-3.90%,4.09,0.00%,"24,838"
209,PSTI,62.40M,-,-,-,-,1.68,1.07,-,-10.70%,66.50%,9.50%,-,-,2.08,7.49%,"225,360"
210,NXTP,60.44M,-,-,-,8.89,0.66,2.55,-,-39.50%,113.00%,22.10%,-,-,0.59,11.84%,"1,285,920"
211,BIOL,60.33M,-,-,-,1.71,1.76,1.81,-,27.30%,10.00%,20.30%,20.00%,-14.00%,0.35,-10.55%,"4,252,695"
212,NTIP,60.20M,4.26,-,-,1.69,0.92,0.99,3.63,4.80%,-,-19.40%,-,-56.70%,2.39,-4.40%,"25,435"
213,BDL,59.52M,4.73,-,-,0.42,1.13,1.77,5.67,949.20%,-,31.10%,-,5.80%,32,0.00%,"15,796"
214,ACST,59.51M,-,-,-,595.06,0.35,1.02,-,45.00%,-,22.50%,-,39.10%,1.12,4.67%,"211,411"
215,DSWL,59.20M,5.56,-,-,0.77,0.68,1.28,-,718.40%,-,29.70%,-,7.80%,3.8,1.60%,314
216,NBSE,57.00M,-,-,-,-,1.26,1.21,-,-5.00%,-18.60%,43.70%,4.00%,-,1.82,4.60%,"109,817"
217,XTNT,56.80M,-,-,-,1.03,1.83,3.12,-,77.00%,-,68.60%,20.00%,-9.30%,0.64,-1.57%,"80,309"
218,UAMY,55.80M,-,-,-,8.58,1.74,2.58,-,14.70%,-,-28.00%,-,-16.80%,0.52,-0.93%,"873,642"
219,LGL,55.77M,1.82,24.07,0.09,1.97,0.8,0.84,69.72,-73.70%,15.38%,21.90%,20.00%,8.50%,10.83,3.14%,"9,261"
220,DWSN,55.20M,-,-,-,2.23,0.8,1.51,-,14.00%,-,14.10%,41.80%,-18.20%,2.35,0.86%,"50,916"
221,DGLY,54.79M,2.04,107,0.1,4.42,0.98,1.35,-,86.10%,-95.65%,46.50%,20.00%,-12.10%,1.07,2.88%,"295,572"
222,CTHR,54.79M,4.86,17.5,0.16,1.27,0.9,3.36,17.12,297.00%,42.86%,33.50%,30.00%,6.10%,1.75,-2.23%,"80,809"
223,TATT,54.02M,-,-,-,0.69,0.71,4.19,-,-14.50%,-,-,-,-4.00%,6.16,1.32%,"6,969"
224,FTFT,53.17M,-,-,-,3.88,0.67,1,-,-172.40%,-,-23.70%,15.00%,-66.40%,0.84,11.06%,"3,262,576"
225,COCP,52.90M,-,-,-,105.8,0.69,0.86,-,88.40%,0.00%,40.70%,-,91.60%,0.57,5.11%,"280,669"
226,SSKN,52.21M,-,-,-,1.89,2,4.02,-,-10.80%,-25.00%,61.90%,25.00%,4.50%,1.54,1.32%,"10,823"
227,EVGN,51.50M,-,-,-,57.22,0.83,0.84,-,-18.00%,0.00%,-4.10%,-,-37.80%,1.24,-0.80%,"474,319"
228,INPX,51.11M,-,-,-,3.19,0.29,0.46,-,97.90%,-,-,20.00%,-32.60%,0.3,-11.48%,"2,300,201"
229,WVVI,50.63M,38.75,-,-,1.65,1.52,3.64,-,53.50%,-,4.30%,-,8.80%,10.27,0.69%,"7,155"
230,ISR,50.60M,-,-,-,4.73,0.73,0.84,-,36.20%,25.00%,17.60%,-,16.10%,0.33,-7.38%,"579,327"
231,HGBL,50.50M,6.04,4.72,-,1.91,1.51,3.71,-,-66.70%,52.63%,-,-,1.60%,1.37,-0.72%,"215,130"
232,ENG,50.01M,-,4.33,-,1.37,1.79,2.6,-,-683.60%,135.71%,-16.10%,-,-9.30%,1.43,0.70%,"363,058"
